s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0002091E+000, 1.6773602E-001, 1.6773602E-001, 1.0000000E+000
 2.0008738E+000, 7.7217004E-002, 7.7217004E-002, 1.0000000E+000
 3.0005487E+000, 4.4133098E-002, 4.4133098E-002, 1.0000000E+000
 4.0047709E+000, 3.1980052E-002, 3.1980052E-002, 1.0000000E+000
 5.0063959E+000, 2.7553594E-002, 2.7553594E-002, 1.0000000E+000
 6.0048747E+000, 2.8311953E-002, 2.8311953E-002, 1.0000000E+000
 7.0023200E+000, 2.6217637E-002, 2.6217637E-002, 1.0000000E+000
 8.0013077E+000, 3.0239778E-002, 3.0239778E-002, 1.0000000E+000
 9.0026360E+000, 3.8177732E-002, 3.8177732E-002, 1.0000000E+000
 1.0002852E+001, 2.9962468E-002, 2.9962468E-002, 1.0000000E+000
 1.1007403E+001, 5.0152130E-002, 5.0152130E-002, 1.0000000E+000
 1.2002744E+001, 6.5850144E-002, 6.5850144E-002, 1.0000000E+000
 1.3000761E+001, 1.0046961E-001, 1.0046961E-001, 1.0000000E+000
 1.4009340E+001, 1.1610115E-001, 1.1610115E-001, 1.0000000E+000
 1.5007237E+001, 1.2173537E-001, 1.2173537E-001, 1.0000000E+000
 1.6003003E+001, 1.2379976E-001, 1.2379976E-001, 1.0000000E+000
 1.7000404E+001, 1.2455940E-001, 1.2455940E-001, 1.0000000E+000
 1.8003754E+001, 1.2785223E-001, 1.2785223E-001, 1.0000000E+000
 1.9011477E+001, 1.2603371E-001, 1.2603371E-001, 1.0000000E+000
 2.0012304E+001, 1.5015703E-001, 1.5015703E-001, 1.0000000E+000
 2.1001699E+001, 1.6582872E-001, 1.6582872E-001, 1.0000000E+000
 2.2002676E+001, 1.9880598E-001, 1.9880598E-001, 1.0000000E+000
 2.3010422E+001, 2.1550543E-001, 2.1550543E-001, 1.0000000E+000
 2.4016287E+001, 2.2155485E-001, 2.2155485E-001, 1.0000000E+000
 2.5015392E+001, 2.2374333E-001, 0.0000000E+000, 0.0000000E+000
 2.6009310E+001, 2.2454081E-001, 0.0000000E+000, 0.0000000E+000
 2.7022875E+001, 2.0766285E-001, 0.0000000E+000, 0.0000000E+000
 2.8030649E+001, 2.1475769E-001, 0.0000000E+000, 0.0000000E+000
 2.9018151E+001, 2.1241852E-001, 0.0000000E+000, 0.0000000E+000
 3.0027104E+001, 1.8840741E-001, 0.0000000E+000, 0.0000000E+000
 3.1031775E+001, 1.7982244E-001, 0.0000000E+000, 0.0000000E+000
