s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0094149E+000, 5.5786272E-002, 5.5786272E-002, 1.0000000E+000
 2.0043495E+000, 3.6277444E-002, 3.6277444E-002, 1.0000000E+000
 3.0115781E+000, 2.9078942E-002, 2.9078942E-002, 1.0000000E+000
 4.0144527E+000, 2.6481643E-002, 2.6481643E-002, 1.0000000E+000
 5.0011896E+000, 2.5547888E-002, 2.5547888E-002, 1.0000000E+000
 6.0040485E+000, 2.5199440E-002, 2.5199440E-002, 1.0000000E+000
 7.0107068E+000, 2.5072409E-002, 2.5072409E-002, 1.0000000E+000
 8.0033495E+000, 2.5026706E-002, 2.5026706E-002, 1.0000000E+000
 9.0015464E+000, 2.5009803E-002, 2.5009803E-002, 1.0000000E+000
 1.0004349E+001, 2.5003584E-002, 2.5003584E-002, 1.0000000E+000
 1.1002756E+001, 2.5001317E-002, 2.5001317E-002, 1.0000000E+000
 1.2000452E+001, 2.5000484E-002, 2.5000484E-002, 1.0000000E+000
 1.3006399E+001, 2.5000176E-002, 2.5000176E-002, 1.0000000E+000
 1.4003542E+001, 4.3337331E-002, 4.3337331E-002, 1.0000000E+000
 1.5002482E+001, 6.3375668E-002, 6.3375668E-002, 1.0000000E+000
 1.6007331E+001, 7.0759038E-002, 7.0759038E-002, 1.0000000E+000
 1.7000245E+001, 7.3434524E-002, 7.3434524E-002, 1.0000000E+000
 1.8004407E+001, 7.4428412E-002, 7.4428412E-002, 1.0000000E+000
 1.9001904E+001, 7.4789854E-002, 7.4789854E-002, 1.0000000E+000
 2.0004222E+001, 7.4923122E-002, 7.4923122E-002, 1.0000000E+000
 2.1001079E+001, 7.6145643E-002, 7.6145643E-002, 1.0000000E+000
 2.2003830E+001, 1.0714673E-001, 1.0714673E-001, 1.0000000E+000
 2.3002680E+001, 1.1844820E-001, 1.1844820E-001, 1.0000000E+000
 2.4001124E+001, 1.2259331E-001, 1.2259331E-001, 1.0000000E+000
 2.5004232E+001, 1.4348808E-001, 1.4348808E-001, 1.0000000E+000
 2.6002545E+001, 1.6342727E-001, 1.6342727E-001, 1.0000000E+000
 2.7004461E+001, 1.7076370E-001, 1.7076370E-001, 1.0000000E+000
 2.8000940E+001, 1.7344053E-001, 1.7344053E-001, 1.0000000E+000
 2.9004208E+001, 1.9433863E-001, 1.9433863E-001, 1.0000000E+000
 3.0000643E+001, 2.1371778E-001, 2.1371778E-001, 1.0000000E+000
 3.1002947E+001, 2.2087157E-001, 2.2087157E-001, 1.0000000E+000
