s,m,,
Time,xT,x,flag val
 7.9000180E+001, 3.0591584E+000, 3.0591584E+000, 1.0000000E+000
 8.0004071E+001, 3.1289784E+000, 3.1289784E+000, 1.0000000E+000
 8.1003172E+001, 3.2126740E+000, 3.2126740E+000, 1.0000000E+000
 8.2003491E+001, 3.2641748E+000, 3.2641748E+000, 1.0000000E+000
 8.3003752E+001, 3.3192538E+000, 3.3192538E+000, 1.0000000E+000
 8.4002644E+001, 3.3675124E+000, 3.3675124E+000, 1.0000000E+000
 8.5001600E+001, 3.4288788E+000, 3.4288788E+000, 1.0000000E+000
 8.6004413E+001, 3.4948302E+000, 3.4948302E+000, 1.0000000E+000
 8.7005694E+001, 3.5543367E+000, 3.5543367E+000, 1.0000000E+000
 8.8002484E+001, 3.6080435E+000, 3.6080435E+000, 1.0000000E+000
 8.9004309E+001, 3.6502547E+000, 3.6502547E+000, 1.0000000E+000
 9.0003751E+001, 3.6983388E+000, 3.6983388E+000, 1.0000000E+000
 9.1000879E+001, 3.7332978E+000, 3.7332978E+000, 1.0000000E+000
 9.2004819E+001, 3.7700042E+000, 3.7700042E+000, 1.0000000E+000
 9.3003589E+001, 3.8075981E+000, 3.8075981E+000, 1.0000000E+000
 9.4002623E+001, 3.8540539E+000, 3.8540539E+000, 1.0000000E+000
 9.5001636E+001, 3.9044306E+000, 3.9044306E+000, 1.0000000E+000
 9.6004853E+001, 3.9462002E+000, 3.9462002E+000, 1.0000000E+000
 9.7004657E+001, 3.9947460E+000, 3.9947460E+000, 1.0000000E+000
 9.8000880E+001, 4.0362481E+000, 4.0362481E+000, 1.0000000E+000
 9.9000563E+001, 4.0778874E+000, 4.0778874E+000, 1.0000000E+000
 1.0000217E+002, 4.1246385E+000, 4.1246385E+000, 1.0000000E+000
 1.0100205E+002, 4.1615229E+000, 4.1615229E+000, 1.0000000E+000
 1.0200079E+002, 4.2122653E+000, 4.2122653E+000, 1.0000000E+000
 1.0300165E+002, 4.2560211E+000, 4.2560211E+000, 1.0000000E+000
 1.0400010E+002, 4.2960563E+000, 4.2960563E+000, 1.0000000E+000
 1.0500030E+002, 4.3276751E+000, 4.3276751E+000, 1.0000000E+000
 1.0600478E+002, 4.3674806E+000, 4.3674806E+000, 1.0000000E+000
 1.0700280E+002, 4.4089456E+000, 4.4089456E+000, 1.0000000E+000
 1.0800451E+002, 4.4497321E+000, 4.4497321E+000, 1.0000000E+000
 1.0900348E+002, 4.4908629E+000, 4.4908629E+000, 1.0000000E+000
 1.1000444E+002, 4.5422499E+000, 4.5422499E+000, 1.0000000E+000
 1.1100442E+002, 4.5916236E+000, 4.5916236E+000, 1.0000000E+000
 1.1200376E+002, 4.6288258E+000, 4.6288258E+000, 1.0000000E+000
 1.1300426E+002, 4.6809596E+000, 4.6809596E+000, 1.0000000E+000
 1.1400242E+002, 4.7345230E+000, 4.7345230E+000, 1.0000000E+000
 1.1500019E+002, 4.7796482E+000, 4.7796482E+000, 1.0000000E+000
 1.1600126E+002, 4.8270499E+000, 4.8270499E+000, 1.0000000E+000
 1.1700009E+002, 4.8681985E+000, 4.8681985E+000, 1.0000000E+000
 1.1800037E+002, 4.9218312E+000, 4.9218312E+000, 1.0000000E+000
 1.1900110E+002, 4.9704951E+000, 4.9704951E+000, 1.0000000E+000
 1.2000323E+002, 5.0233898E+000, 5.0233898E+000, 1.0000000E+000
 1.2100449E+002, 5.0759432E+000, 5.0759432E+000, 1.0000000E+000
 1.2200008E+002, 5.1205575E+000, 5.1205575E+000, 1.0000000E+000
 1.2300154E+002, 5.1762236E+000, 5.1762236E+000, 1.0000000E+000
 1.2400330E+002, 5.2251640E+000, 5.2251640E+000, 1.0000000E+000
 1.2500225E+002, 5.2697888E+000, 5.2697888E+000, 1.0000000E+000
 1.2600145E+002, 5.3233859E+000, 5.3233859E+000, 1.0000000E+000
 1.2700244E+002, 5.3780337E+000, 5.3780337E+000, 1.0000000E+000
 1.2800316E+002, 5.4378915E+000, 5.4378915E+000, 1.0000000E+000
 1.2900295E+002, 5.5017994E+000, 5.5017994E+000, 1.0000000E+000
 1.3000375E+002, 5.5528681E+000, 5.5528681E+000, 1.0000000E+000
 1.3100468E+002, 5.6251397E+000, 5.6251397E+000, 1.0000000E+000
 1.3200364E+002, 5.6945157E+000, 5.6945157E+000, 1.0000000E+000
 1.3300094E+002, 5.7718546E+000, 5.7718546E+000, 1.0000000E+000
 1.3400099E+002, 5.8405113E+000, 5.8405113E+000, 1.0000000E+000
 1.3500018E+002, 5.9307115E+000, 5.9307115E+000, 1.0000000E+000
 1.3600241E+002, 6.0159873E+000, 6.0159873E+000, 1.0000000E+000
 1.3700159E+002, 6.0873689E+000, 6.0873689E+000, 1.0000000E+000
 1.3800286E+002, 6.1558718E+000, 6.1558718E+000, 1.0000000E+000
 1.3900006E+002, 6.2270051E+000, 6.2270051E+000, 1.0000000E+000
 1.4000385E+002, 6.2810468E+000, 6.2810468E+000, 1.0000000E+000
 1.4100269E+002, 6.3385790E+000, 6.3385790E+000, 1.0000000E+000
 1.4200277E+002, 6.4066969E+000, 6.4066969E+000, 1.0000000E+000
 1.4300340E+002, 6.4697889E+000, 6.4697889E+000, 1.0000000E+000
 1.4400042E+002, 6.5282723E+000, 6.5282723E+000, 1.0000000E+000
 1.4500011E+002, 6.5994104E+000, 6.5994104E+000, 1.0000000E+000
 1.4600367E+002, 6.6518499E+000, 6.6518499E+000, 1.0000000E+000
 1.4700272E+002, 6.7241985E+000, 6.7241985E+000, 1.0000000E+000
 1.4800167E+002, 6.7928654E+000, 6.7928654E+000, 1.0000000E+000
 1.4900134E+002, 6.8612982E+000, 6.8612982E+000, 1.0000000E+000
 1.5000516E+002, 6.9444444E+000, 6.9444444E+000, 1.0000000E+000
 1.5100019E+002, 7.0472425E+000, 7.0472425E+000, 1.0000000E+000
 1.5200217E+002, 7.1522063E+000, 7.1522063E+000, 1.0000000E+000
 1.5300580E+002, 7.2519176E+000, 7.2519176E+000, 1.0000000E+000
 1.5400488E+002, 7.3390055E+000, 7.3390055E+000, 1.0000000E+000
 1.5500649E+002, 7.4255935E+000, 7.4255935E+000, 1.0000000E+000
 1.5600660E+002, 7.4999833E+000, 7.4999833E+000, 1.0000000E+000
 1.5700275E+002, 7.5689245E+000, 7.5689245E+000, 1.0000000E+000
 1.5800020E+002, 7.6359202E+000, 7.6359202E+000, 1.0000000E+000
 1.5900810E+002, 7.7218746E+000, 7.7218746E+000, 1.0000000E+000
