s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0062316E+000, 8.7576793E-002, 8.7576793E-002, 1.0000000E+000
 2.0003054E+000, 7.9629396E-002, 7.9629396E-002, 1.0000000E+000
 3.0008307E+000, 8.0499395E-002, 8.0499395E-002, 1.0000000E+000
 4.0004468E+000, 9.0988179E-002, 9.0988179E-002, 1.0000000E+000
 5.0043346E+000, 1.0656600E-001, 1.0656600E-001, 1.0000000E+000
 6.0034991E+000, 8.6576950E-002, 8.6576950E-002, 1.0000000E+000
 7.0040949E+000, 8.6994674E-002, 8.6994674E-002, 1.0000000E+000
 8.0001876E+000, 1.1100390E-001, 1.1100390E-001, 1.0000000E+000
 9.0052447E+000, 1.1989341E-001, 1.1989341E-001, 1.0000000E+000
 1.0001235E+001, 1.2311861E-001, 1.2311861E-001, 1.0000000E+000
 1.1005212E+001, 1.5792672E-001, 1.5792672E-001, 1.0000000E+000
 1.2000134E+001, 2.0777960E-001, 2.0777960E-001, 1.0000000E+000
 1.3005217E+001, 2.5046631E-001, 2.5046631E-001, 1.0000000E+000
 1.4006396E+001, 2.9485117E-001, 2.9485117E-001, 1.0000000E+000
 1.5003532E+001, 3.3286021E-001, 3.3286021E-001, 1.0000000E+000
 1.6002006E+001, 3.7283126E-001, 3.7283126E-001, 1.0000000E+000
 1.7001697E+001, 4.1019428E-001, 4.1019428E-001, 1.0000000E+000
 1.8002586E+001, 4.5125199E-001, 4.5125199E-001, 1.0000000E+000
 1.9002225E+001, 4.9406170E-001, 4.9406170E-001, 1.0000000E+000
 2.0004806E+001, 5.3207184E-001, 5.3207184E-001, 1.0000000E+000
 2.1002320E+001, 5.6297654E-001, 5.6297654E-001, 1.0000000E+000
 2.2003744E+001, 6.0228170E-001, 6.0228170E-001, 1.0000000E+000
 2.3004831E+001, 6.4132701E-001, 6.4132701E-001, 1.0000000E+000
 2.4004163E+001, 6.7501822E-001, 6.7501822E-001, 1.0000000E+000
 2.5002441E+001, 7.0663047E-001, 7.0663047E-001, 1.0000000E+000
 2.6000901E+001, 7.4551386E-001, 7.4551386E-001, 1.0000000E+000
 2.7000792E+001, 7.8009468E-001, 7.8009468E-001, 1.0000000E+000
 2.8003835E+001, 8.1348994E-001, 8.1348994E-001, 1.0000000E+000
 2.9002864E+001, 8.4964193E-001, 8.4964193E-001, 1.0000000E+000
 3.0004488E+001, 8.8088304E-001, 8.8088304E-001, 1.0000000E+000
 3.1000378E+001, 9.1282417E-001, 9.1282417E-001, 1.0000000E+000
