s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0068876E+000, 4.0626836E-002, 4.0626836E-002, 1.0000000E+000
 2.0019178E+000, 4.4980919E-002, 4.4980919E-002, 1.0000000E+000
 3.0082745E+000, 6.3700597E-002, 6.3700597E-002, 1.0000000E+000
 4.0086581E+000, 6.7823801E-002, 6.7823801E-002, 1.0000000E+000
 5.0074028E+000, 6.9931702E-002, 6.9931702E-002, 1.0000000E+000
 6.0038509E+000, 7.2802142E-002, 7.2802142E-002, 1.0000000E+000
 7.0047683E+000, 4.9849709E-002, 4.9849709E-002, 1.0000000E+000
 8.0052995E+000, 3.4094348E-002, 3.4094348E-002, 1.0000000E+000
 9.0045916E+000, 2.8333336E-002, 2.8333336E-002, 1.0000000E+000
 1.0004963E+001, 2.6221561E-002, 2.6221561E-002, 1.0000000E+000
 1.1004230E+001, 3.3826397E-002, 3.3826397E-002, 1.0000000E+000
 1.2005302E+001, 5.9922574E-002, 5.9922574E-002, 1.0000000E+000
 1.3007685E+001, 6.9488197E-002, 6.9488197E-002, 1.0000000E+000
 1.4000549E+001, 7.2965304E-002, 7.2965304E-002, 1.0000000E+000
 1.5006547E+001, 9.6867539E-002, 9.6867539E-002, 1.0000000E+000
 1.6002747E+001, 1.1464706E-001, 1.1464706E-001, 1.0000000E+000
 1.7002392E+001, 1.2120378E-001, 1.2120378E-001, 1.0000000E+000
 1.8004408E+001, 1.2361182E-001, 1.2361182E-001, 1.0000000E+000
 1.9002112E+001, 1.2448990E-001, 1.2448990E-001, 1.0000000E+000
 2.0004185E+001, 1.2797786E-001, 1.2797786E-001, 1.0000000E+000
 2.1002686E+001, 1.5773309E-001, 1.5773309E-001, 1.0000000E+000
 2.2004483E+001, 1.6868428E-001, 1.6868428E-001, 1.0000000E+000
 2.3002938E+001, 1.7268195E-001, 1.7268195E-001, 1.0000000E+000
 2.4001782E+001, 1.8513221E-001, 1.8513221E-001, 1.0000000E+000
 2.5005069E+001, 2.1043491E-001, 2.1043491E-001, 1.0000000E+000
 2.6000353E+001, 2.1963418E-001, 2.1963418E-001, 1.0000000E+000
 2.7005204E+001, 2.2304368E-001, 2.2304368E-001, 1.0000000E+000
 2.8004819E+001, 2.2428271E-001, 2.2428271E-001, 1.0000000E+000
 2.9005204E+001, 2.3103845E-001, 2.3103845E-001, 1.0000000E+000
 3.0001405E+001, 2.5882543E-001, 2.5882543E-001, 1.0000000E+000
 3.1006372E+001, 2.6910194E-001, 2.6910194E-001, 1.0000000E+000
