s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0194836E+000, 5.6141992E-002, 5.6141992E-002, 1.0000000E+000
 2.0061668E+000, 3.6483264E-002, 3.6483264E-002, 1.0000000E+000
 3.0054346E+000, 2.9192488E-002, 2.9192488E-002, 1.0000000E+000
 4.0002175E+000, 2.6539659E-002, 2.6539659E-002, 1.0000000E+000
 5.0111625E+000, 2.5556503E-002, 2.5556503E-002, 1.0000000E+000
 6.0046346E+000, 2.5204971E-002, 2.5204971E-002, 1.0000000E+000
 7.0021488E+000, 2.5075244E-002, 2.5075244E-002, 1.0000000E+000
 8.0051800E+000, 2.5027493E-002, 2.5027493E-002, 1.0000000E+000
 9.0006216E+000, 2.5010127E-002, 2.5010127E-002, 1.0000000E+000
 1.0001657E+001, 2.5003708E-002, 2.5003708E-002, 1.0000000E+000
 1.1006556E+001, 2.5001352E-002, 2.5001352E-002, 1.0000000E+000
 1.2003535E+001, 3.1854999E-002, 3.1854999E-002, 1.0000000E+000
 1.3005164E+001, 5.3268989E-002, 5.3268989E-002, 1.0000000E+000
 1.4006894E+001, 6.7048662E-002, 6.7048662E-002, 1.0000000E+000
 1.5000648E+001, 7.2068692E-002, 7.2068692E-002, 1.0000000E+000
 1.6004497E+001, 7.3930041E-002, 7.3930041E-002, 1.0000000E+000
 1.7001916E+001, 7.4606719E-002, 7.4606719E-002, 1.0000000E+000
 1.8006513E+001, 7.4856491E-002, 7.4856491E-002, 1.0000000E+000
 1.9000602E+001, 7.4947071E-002, 7.4947071E-002, 1.0000000E+000
 2.0005230E+001, 1.0097910E-001, 1.0097910E-001, 1.0000000E+000
 2.1005743E+001, 1.1497989E-001, 1.1497989E-001, 1.0000000E+000
 2.2002100E+001, 1.2131285E-001, 1.2131285E-001, 1.0000000E+000
 2.3000328E+001, 1.2364548E-001, 1.2364548E-001, 1.0000000E+000
 2.4004451E+001, 1.4323415E-001, 1.4323415E-001, 1.0000000E+000
 2.5000823E+001, 1.6330757E-001, 1.6330757E-001, 1.0000000E+000
 2.6003094E+001, 1.7072181E-001, 1.7072181E-001, 1.0000000E+000
 2.7005036E+001, 1.7343382E-001, 1.7343382E-001, 1.0000000E+000
 2.8002851E+001, 1.9444944E-001, 1.9444944E-001, 1.0000000E+000
 2.9003412E+001, 2.1380122E-001, 2.1380122E-001, 1.0000000E+000
 3.0004505E+001, 2.2089568E-001, 2.2089568E-001, 1.0000000E+000
 3.1003407E+001, 2.2349268E-001, 2.2349268E-001, 1.0000000E+000
