s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0164669E+000, 9.3176273E-002, 9.3176273E-002, 1.0000000E+000
 2.0124380E+000, 7.1593750E-002, 7.1593750E-002, 1.0000000E+000
 3.0084091E+000, 4.3330885E-002, 4.3330885E-002, 1.0000000E+000
 4.0043802E+000, 3.1717121E-002, 3.1717121E-002, 1.0000000E+000
 5.0003512E+000, 2.9833303E-002, 2.9833303E-002, 1.0000000E+000
 6.0029273E+000, 3.4221331E-002, 3.4221331E-002, 1.0000000E+000
 7.0024406E+000, 4.8629726E-002, 4.8629726E-002, 1.0000000E+000
 8.0053080E+000, 4.0043163E-002, 4.0043163E-002, 1.0000000E+000
 9.0037334E+000, 3.0520503E-002, 3.0520503E-002, 1.0000000E+000
 1.0004923E+001, 2.7019949E-002, 2.7019949E-002, 1.0000000E+000
 1.1005103E+001, 4.2862121E-002, 4.2862121E-002, 1.0000000E+000
 1.2002013E+001, 6.3176939E-002, 6.3176939E-002, 1.0000000E+000
 1.3005161E+001, 8.4240109E-002, 8.4240109E-002, 1.0000000E+000
 1.4004623E+001, 1.1074865E-001, 1.1074865E-001, 1.0000000E+000
 1.5001388E+001, 1.4113381E-001, 1.4113381E-001, 1.0000000E+000
 1.6002595E+001, 1.9100026E-001, 1.9100026E-001, 1.0000000E+000
 1.7002927E+001, 2.3827116E-001, 2.3827116E-001, 1.0000000E+000
 1.8000932E+001, 2.7911938E-001, 2.7911938E-001, 1.0000000E+000
 1.9001951E+001, 3.1490191E-001, 3.1490191E-001, 1.0000000E+000
 2.0002146E+001, 3.5217991E-001, 3.5217991E-001, 1.0000000E+000
 2.1003754E+001, 3.9220888E-001, 3.9220888E-001, 1.0000000E+000
 2.2003861E+001, 4.5201245E-001, 4.5201245E-001, 1.0000000E+000
 2.3003860E+001, 5.1650984E-001, 5.1650984E-001, 1.0000000E+000
 2.4004899E+001, 5.6733775E-001, 5.6733775E-001, 1.0000000E+000
 2.5003028E+001, 5.9343698E-001, 5.9343698E-001, 1.0000000E+000
 2.6000999E+001, 6.3557384E-001, 6.3557384E-001, 1.0000000E+000
 2.7000859E+001, 6.7318803E-001, 6.7318803E-001, 1.0000000E+000
 2.8005140E+001, 7.1239707E-001, 7.1239707E-001, 1.0000000E+000
 2.9002175E+001, 7.3910056E-001, 7.3910056E-001, 1.0000000E+000
 3.0001271E+001, 7.6949038E-001, 7.6949038E-001, 1.0000000E+000
 3.1002734E+001, 8.1002125E-001, 8.1002125E-001, 1.0000000E+000
