s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0057486E+000, 8.0890520E-002, 8.0890520E-002, 1.0000000E+000
 2.0077713E+000, 6.1044648E-002, 6.1044648E-002, 1.0000000E+000
 3.0097939E+000, 3.8163052E-002, 3.8163052E-002, 1.0000000E+000
 4.0012690E+000, 2.9858223E-002, 2.9858223E-002, 1.0000000E+000
 5.0085655E+000, 2.6764178E-002, 2.6764178E-002, 1.0000000E+000
 6.0081118E+000, 2.5964920E-002, 2.5964920E-002, 1.0000000E+000
 7.0036224E+000, 2.5354723E-002, 2.5354723E-002, 1.0000000E+000
 8.0053550E+000, 3.5785255E-002, 3.5785255E-002, 1.0000000E+000
 9.0023843E+000, 4.3355240E-002, 4.3355240E-002, 1.0000000E+000
 1.0004572E+001, 3.8470182E-002, 3.8470182E-002, 1.0000000E+000
 1.1001652E+001, 3.4434506E-002, 3.4434506E-002, 1.0000000E+000
 1.2001645E+001, 2.8452241E-002, 2.8452241E-002, 1.0000000E+000
 1.3007574E+001, 4.9280610E-002, 4.9280610E-002, 1.0000000E+000
 1.4000363E+001, 6.5517610E-002, 6.5517610E-002, 1.0000000E+000
 1.5003476E+001, 7.1538928E-002, 7.1538928E-002, 1.0000000E+000
 1.6006281E+001, 7.3735218E-002, 7.3735218E-002, 1.0000000E+000
 1.7002780E+001, 8.9363524E-002, 8.9363524E-002, 1.0000000E+000
 1.8000294E+001, 1.1189276E-001, 1.1189276E-001, 1.0000000E+000
 1.9001146E+001, 1.2627160E-001, 1.2627160E-001, 1.0000000E+000
 2.0001473E+001, 1.4445160E-001, 1.4445160E-001, 1.0000000E+000
 2.1001390E+001, 1.6037953E-001, 1.6037953E-001, 1.0000000E+000
 2.2004362E+001, 1.1510354E-001, 1.1510354E-001, 1.0000000E+000
 2.3002568E+001, 1.3553767E-001, 1.3553767E-001, 1.0000000E+000
 2.4004027E+001, 1.5562441E-001, 1.5562441E-001, 1.0000000E+000
 2.5002523E+001, 2.5092946E-001, 2.5092946E-001, 1.0000000E+000
 2.6001486E+001, 2.7854570E-001, 2.7854570E-001, 1.0000000E+000
 2.7002600E+001, 2.6127398E-001, 2.6127398E-001, 1.0000000E+000
 2.8003059E+001, 3.3101816E-001, 3.3101816E-001, 1.0000000E+000
 2.9001118E+001, 3.2721329E-001, 3.2721329E-001, 1.0000000E+000
 3.0000833E+001, 3.5737746E-001, 3.5737746E-001, 1.0000000E+000
 3.1002423E+001, 3.8338447E-001, 3.8338447E-001, 1.0000000E+000
