s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0037493E+000, 8.3874388E-002, 8.3874388E-002, 1.0000000E+000
 2.0079944E+000, 7.8233544E-002, 7.8233544E-002, 1.0000000E+000
 3.0016685E+000, 6.5766795E-002, 6.5766795E-002, 1.0000000E+000
 4.0059135E+000, 4.1572728E-002, 4.1572728E-002, 1.0000000E+000
 5.0091015E+000, 3.8706904E-002, 3.8706904E-002, 1.0000000E+000
 6.0003009E+000, 4.8312291E-002, 4.8312291E-002, 1.0000000E+000
 7.0057716E+000, 3.8367318E-002, 3.8367318E-002, 1.0000000E+000
 8.0022803E+000, 5.9620828E-002, 5.9620828E-002, 1.0000000E+000
 9.0075016E+000, 6.7211018E-002, 6.7211018E-002, 1.0000000E+000
 1.0001320E+001, 7.9907000E-002, 7.9907000E-002, 1.0000000E+000
 1.1003811E+001, 9.5163439E-002, 9.5163439E-002, 1.0000000E+000
 1.2004676E+001, 1.4541646E-001, 1.4541646E-001, 1.0000000E+000
 1.3000615E+001, 2.3399060E-001, 2.3399060E-001, 1.0000000E+000
 1.4004944E+001, 3.0485531E-001, 3.0485531E-001, 1.0000000E+000
 1.5003426E+001, 3.3639824E-001, 3.3639824E-001, 1.0000000E+000
 1.6001579E+001, 3.2881998E-001, 3.2881998E-001, 1.0000000E+000
 1.7003371E+001, 3.8304298E-001, 3.8304298E-001, 1.0000000E+000
 1.8003039E+001, 4.3827351E-001, 4.3827351E-001, 1.0000000E+000
 1.9001539E+001, 4.6510139E-001, 4.6510139E-001, 1.0000000E+000
 2.0000780E+001, 5.9013168E-001, 5.9013168E-001, 1.0000000E+000
 2.1001405E+001, 7.1738497E-001, 7.1738497E-001, 1.0000000E+000
 2.2000578E+001, 8.1354739E-001, 8.1354739E-001, 1.0000000E+000
 2.3000998E+001, 8.9029702E-001, 8.9029702E-001, 1.0000000E+000
 2.4002141E+001, 9.7076889E-001, 9.7076889E-001, 1.0000000E+000
 2.5001301E+001, 1.0587992E+000, 1.0587992E+000, 1.0000000E+000
 2.6004186E+001, 1.1258021E+000, 1.1258021E+000, 1.0000000E+000
 2.7004764E+001, 1.2180700E+000, 1.2180700E+000, 1.0000000E+000
 2.8004119E+001, 1.3524530E+000, 1.3524530E+000, 1.0000000E+000
 2.9004300E+001, 1.4198281E+000, 1.4198281E+000, 1.0000000E+000
 3.0001306E+001, 1.4302187E+000, 1.4302187E+000, 1.0000000E+000
 3.1003569E+001, 1.4990375E+000, 1.4990375E+000, 1.0000000E+000
