s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0047887E+000, 4.8145427E-002, 4.8145427E-002, 1.0000000E+000
 2.0028423E+000, 3.3471042E-002, 3.3471042E-002, 1.0000000E+000
 3.0081446E+000, 2.8075206E-002, 2.8075206E-002, 1.0000000E+000
 4.0073754E+000, 2.6123279E-002, 2.6123279E-002, 1.0000000E+000
 5.0013465E+000, 2.5412947E-002, 2.5412947E-002, 1.0000000E+000
 6.0020353E+000, 2.5151107E-002, 2.5151107E-002, 1.0000000E+000
 7.0016407E+000, 2.5055319E-002, 2.5055319E-002, 1.0000000E+000
 8.0014719E+000, 2.5020258E-002, 2.5020258E-002, 1.0000000E+000
 9.0025481E+000, 2.5007414E-002, 2.5007414E-002, 1.0000000E+000
 1.0002239E+001, 2.5002718E-002, 2.5002718E-002, 1.0000000E+000
 1.1001312E+001, 2.5000998E-002, 2.5000998E-002, 1.0000000E+000
 1.2002316E+001, 2.5000365E-002, 2.5000365E-002, 1.0000000E+000
 1.3001404E+001, 4.9767456E-002, 4.9767456E-002, 1.0000000E+000
 1.4004749E+001, 6.5777746E-002, 6.5777746E-002, 1.0000000E+000
 1.5006503E+001, 7.1624800E-002, 7.1624800E-002, 1.0000000E+000
 1.6002974E+001, 7.3758484E-002, 7.3758484E-002, 1.0000000E+000
 1.7004607E+001, 7.4545572E-002, 7.4545572E-002, 1.0000000E+000
 1.8005318E+001, 7.4833477E-002, 7.4833477E-002, 1.0000000E+000
 1.9005535E+001, 7.4938964E-002, 7.4938964E-002, 1.0000000E+000
 2.0001898E+001, 1.0178698E-001, 1.0178698E-001, 1.0000000E+000
 2.1006081E+001, 1.1652643E-001, 1.1652643E-001, 1.0000000E+000
 2.2002685E+001, 1.2188236E-001, 1.2188236E-001, 1.0000000E+000
 2.3005018E+001, 1.2385946E-001, 1.2385946E-001, 1.0000000E+000
 2.4001167E+001, 1.4294911E-001, 1.4294911E-001, 1.0000000E+000
 2.5005539E+001, 1.6329614E-001, 1.6329614E-001, 1.0000000E+000
 2.6001823E+001, 1.7069145E-001, 1.7069145E-001, 1.0000000E+000
 2.7000137E+001, 1.8810757E-001, 1.8810757E-001, 1.0000000E+000
 2.8004520E+001, 2.0783574E-001, 2.0783574E-001, 1.0000000E+000
 2.9000040E+001, 2.1867798E-001, 2.1867798E-001, 1.0000000E+000
 3.0001252E+001, 2.2268279E-001, 2.2268279E-001, 1.0000000E+000
 3.1001051E+001, 2.5054920E-001, 2.5054920E-001, 1.0000000E+000
