s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0168813E+000, 7.7819228E-002, 7.7819228E-002, 1.0000000E+000
 2.0139556E+000, 4.5765766E-002, 4.5765766E-002, 1.0000000E+000
 3.0110299E+000, 3.2600827E-002, 3.2600827E-002, 1.0000000E+000
 4.0081041E+000, 2.7782107E-002, 2.7782107E-002, 1.0000000E+000
 5.0051784E+000, 2.6018326E-002, 2.6018326E-002, 1.0000000E+000
 6.0102625E+000, 2.6020392E-002, 2.6020392E-002, 1.0000000E+000
 7.0016970E+000, 2.5375963E-002, 2.5375963E-002, 1.0000000E+000
 8.0004441E+000, 3.0144267E-002, 3.0144267E-002, 1.0000000E+000
 9.0074537E+000, 4.9751769E-002, 4.9751769E-002, 1.0000000E+000
 1.0001464E+001, 5.4309324E-002, 5.4309324E-002, 1.0000000E+000
 1.1005435E+001, 3.8470204E-002, 3.8470204E-002, 1.0000000E+000
 1.2002657E+001, 4.0116237E-002, 4.0116237E-002, 1.0000000E+000
 1.3003102E+001, 4.1910738E-002, 4.1910738E-002, 1.0000000E+000
 1.4003664E+001, 5.6927168E-002, 5.6927168E-002, 1.0000000E+000
 1.5002326E+001, 6.8364184E-002, 6.8364184E-002, 1.0000000E+000
 1.6003775E+001, 8.4468824E-002, 8.4468824E-002, 1.0000000E+000
 1.7003915E+001, 1.1012509E-001, 1.1012509E-001, 1.0000000E+000
 1.8000137E+001, 1.2479258E-001, 1.2479258E-001, 1.0000000E+000
 1.9004388E+001, 1.5057012E-001, 1.5057012E-001, 1.0000000E+000
 2.0000537E+001, 1.9178392E-001, 1.9178392E-001, 1.0000000E+000
 2.1000136E+001, 2.0489349E-001, 2.0489349E-001, 1.0000000E+000
 2.2002323E+001, 2.3370269E-001, 2.3370269E-001, 1.0000000E+000
 2.3001056E+001, 2.6212417E-001, 2.6212417E-001, 1.0000000E+000
 2.4001063E+001, 2.9656970E-001, 2.9656970E-001, 1.0000000E+000
 2.5001873E+001, 3.2549190E-001, 3.2549190E-001, 1.0000000E+000
 2.6002916E+001, 3.5509433E-001, 3.5509433E-001, 1.0000000E+000
 2.7004116E+001, 3.8704436E-001, 3.8704436E-001, 1.0000000E+000
 2.8002985E+001, 4.1105657E-001, 4.1105657E-001, 1.0000000E+000
 2.9003057E+001, 4.4337163E-001, 4.4337163E-001, 1.0000000E+000
 3.0000337E+001, 4.6336348E-001, 4.6336348E-001, 1.0000000E+000
 3.1003851E+001, 4.9536287E-001, 4.9536287E-001, 1.0000000E+000
