s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0062319E+000, 8.7576788E-002, 8.7576788E-002, 1.0000000E+000
 2.0002728E+000, 7.9629548E-002, 7.9629548E-002, 1.0000000E+000
 3.0007977E+000, 7.6693933E-002, 7.6693933E-002, 1.0000000E+000
 4.0023156E+000, 8.4797730E-002, 8.4797730E-002, 1.0000000E+000
 5.0019932E+000, 1.0395485E-001, 1.0395485E-001, 1.0000000E+000
 6.0015514E+000, 8.8647653E-002, 8.8647653E-002, 1.0000000E+000
 7.0055320E+000, 8.3207629E-002, 8.3207629E-002, 1.0000000E+000
 8.0005785E+000, 1.0959568E-001, 1.0959568E-001, 1.0000000E+000
 9.0050197E+000, 1.1937666E-001, 1.1937666E-001, 1.0000000E+000
 1.0001207E+001, 1.2292901E-001, 1.2292901E-001, 1.0000000E+000
 1.1005547E+001, 1.3608548E-001, 1.3608548E-001, 1.0000000E+000
 1.2005964E+001, 1.9239057E-001, 1.9239057E-001, 1.0000000E+000
 1.3005783E+001, 2.4057726E-001, 2.4057726E-001, 1.0000000E+000
 1.4004365E+001, 2.8170768E-001, 2.8170768E-001, 1.0000000E+000
 1.5002051E+001, 3.1673888E-001, 3.1673888E-001, 1.0000000E+000
 1.6002854E+001, 3.5657847E-001, 3.5657847E-001, 1.0000000E+000
 1.7003005E+001, 3.9990455E-001, 3.9990455E-001, 1.0000000E+000
 1.8002682E+001, 4.4319423E-001, 4.4319423E-001, 1.0000000E+000
 1.9002607E+001, 4.8419152E-001, 4.8419152E-001, 1.0000000E+000
 2.0000492E+001, 5.1606358E-001, 5.1606358E-001, 1.0000000E+000
 2.1004117E+001, 5.5346158E-001, 5.5346158E-001, 1.0000000E+000
 2.2000535E+001, 5.9493189E-001, 5.9493189E-001, 1.0000000E+000
 2.3002710E+001, 6.2388220E-001, 6.2388220E-001, 1.0000000E+000
 2.4003257E+001, 6.5625217E-001, 6.5625217E-001, 1.0000000E+000
 2.5000771E+001, 6.9496737E-001, 6.9496737E-001, 1.0000000E+000
 2.6002482E+001, 7.2985281E-001, 7.2985281E-001, 1.0000000E+000
 2.7004774E+001, 7.6402280E-001, 7.6402280E-001, 1.0000000E+000
 2.8001003E+001, 8.0679220E-001, 8.0679220E-001, 1.0000000E+000
 2.9005152E+001, 8.6359429E-001, 8.6359429E-001, 1.0000000E+000
 3.0002115E+001, 8.8315343E-001, 8.8315343E-001, 1.0000000E+000
 3.1003893E+001, 9.3664832E-001, 9.3664832E-001, 1.0000000E+000
