s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0067880E+000, 9.5179794E-002, 9.5179794E-002, 1.0000000E+000
 2.0077388E+000, 1.1269398E-001, 1.1269398E-001, 1.0000000E+000
 3.0020460E+000, 1.4009336E-001, 1.4009336E-001, 1.0000000E+000
 4.0059379E+000, 1.8388335E-001, 1.8388335E-001, 1.0000000E+000
 5.0068787E+000, 2.4295874E-001, 2.4295874E-001, 1.0000000E+000
 6.0017482E+000, 3.3608315E-001, 3.3608315E-001, 1.0000000E+000
 7.0018878E+000, 4.5236838E-001, 4.5236838E-001, 1.0000000E+000
 8.0034846E+000, 5.9154347E-001, 5.9154347E-001, 1.0000000E+000
 9.0011998E+000, 7.3576387E-001, 7.3576387E-001, 1.0000000E+000
 1.0005061E+001, 8.6496861E-001, 8.6496861E-001, 1.0000000E+000
 1.1007240E+001, 9.8740081E-001, 9.8740081E-001, 1.0000000E+000
 1.2003954E+001, 1.1412578E+000, 1.1412578E+000, 1.0000000E+000
 1.3003137E+001, 1.3271518E+000, 1.3271518E+000, 1.0000000E+000
 1.4001213E+001, 1.5066197E+000, 1.5066197E+000, 1.0000000E+000
 1.5004947E+001, 1.6981722E+000, 1.6981722E+000, 1.0000000E+000
 1.6007489E+001, 1.8789774E+000, 1.8789774E+000, 1.0000000E+000
 1.7000411E+001, 2.0224993E+000, 2.0224993E+000, 1.0000000E+000
 1.8000205E+001, 2.1646964E+000, 2.1646964E+000, 1.0000000E+000
 1.9007450E+001, 2.3091553E+000, 2.3091553E+000, 1.0000000E+000
 2.0000562E+001, 2.4461815E+000, 2.4461815E+000, 1.0000000E+000
 2.1004575E+001, 2.5956376E+000, 2.5956376E+000, 1.0000000E+000
 2.2000508E+001, 2.7533704E+000, 2.7533704E+000, 1.0000000E+000
 2.3001528E+001, 2.9153653E+000, 2.9153653E+000, 1.0000000E+000
 2.4002664E+001, 3.0681129E+000, 3.0681129E+000, 1.0000000E+000
 2.5001541E+001, 3.2247161E+000, 3.2247161E+000, 1.0000000E+000
 2.6001727E+001, 3.3706055E+000, 3.3706055E+000, 1.0000000E+000
 2.7000125E+001, 3.5145591E+000, 3.5145591E+000, 1.0000000E+000
 2.8002082E+001, 3.6790335E+000, 3.6790335E+000, 1.0000000E+000
 2.9001124E+001, 3.8607923E+000, 3.8607923E+000, 1.0000000E+000
 3.0004983E+001, 4.0288525E+000, 4.0288525E+000, 1.0000000E+000
 3.1006395E+001, 4.2054440E+000, 4.2054440E+000, 1.0000000E+000
 3.2000445E+001, 4.3744051E+000, 4.3744051E+000, 1.0000000E+000
 3.3003219E+001, 4.5639306E+000, 4.5639306E+000, 1.0000000E+000
 3.4005646E+001, 4.7436244E+000, 4.7436244E+000, 1.0000000E+000
 3.5002149E+001, 4.9201633E+000, 4.9201633E+000, 1.0000000E+000
 3.6006542E+001, 5.1083620E+000, 5.1083620E+000, 1.0000000E+000
 3.7003986E+001, 5.2905178E+000, 5.2905178E+000, 1.0000000E+000
 3.8003965E+001, 5.4856060E+000, 5.4856060E+000, 1.0000000E+000
 3.9005124E+001, 5.6891605E+000, 5.6891605E+000, 1.0000000E+000
 4.0006618E+001, 5.9006582E+000, 5.9006582E+000, 1.0000000E+000
 4.1005998E+001, 6.1205522E+000, 6.1205522E+000, 1.0000000E+000
 4.2006080E+001, 6.3338907E+000, 6.3338907E+000, 1.0000000E+000
 4.3006607E+001, 6.5503029E+000, 6.5503029E+000, 1.0000000E+000
 4.4006256E+001, 6.7787158E+000, 6.7787158E+000, 1.0000000E+000
 4.5007425E+001, 7.0146197E+000, 7.0146197E+000, 1.0000000E+000
 4.6008023E+001, 7.2432886E+000, 7.2432886E+000, 1.0000000E+000
 4.7005456E+001, 7.4678032E+000, 7.4678032E+000, 1.0000000E+000
 4.8001670E+001, 7.7048145E+000, 7.7048145E+000, 1.0000000E+000
