s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0211258E+000, 7.3442616E-002, 7.3442616E-002, 1.0000000E+000
 2.0156357E+000, 4.2699974E-002, 4.2699974E-002, 1.0000000E+000
 3.0054239E+000, 3.4303803E-002, 3.4303803E-002, 1.0000000E+000
 4.0041336E+000, 2.8401591E-002, 2.8401591E-002, 1.0000000E+000
 5.0013331E+000, 2.6248477E-002, 2.6248477E-002, 1.0000000E+000
 6.0014833E+000, 2.5457579E-002, 2.5457579E-002, 1.0000000E+000
 7.0059297E+000, 5.4060574E-002, 5.4060574E-002, 1.0000000E+000
 8.0021037E+000, 6.7292427E-002, 6.7292427E-002, 1.0000000E+000
 9.0022959E+000, 9.1756182E-002, 9.1756182E-002, 1.0000000E+000
 1.0003202E+001, 1.1282170E-001, 1.1282170E-001, 1.0000000E+000
 1.1003176E+001, 1.2053222E-001, 1.2053222E-001, 1.0000000E+000
 1.2001625E+001, 1.5166530E-001, 1.5166530E-001, 1.0000000E+000
 1.3004508E+001, 1.9262969E-001, 1.9262969E-001, 1.0000000E+000
 1.4006091E+001, 2.2965806E-001, 2.2965806E-001, 1.0000000E+000
 1.5000166E+001, 2.6014921E-001, 2.6014921E-001, 1.0000000E+000
 1.6004365E+001, 3.0130391E-001, 3.0130391E-001, 1.0000000E+000
 1.7004357E+001, 3.3858362E-001, 3.3858362E-001, 1.0000000E+000
 1.8004895E+001, 3.6890683E-001, 3.6890683E-001, 1.0000000E+000
 1.9004470E+001, 4.0440925E-001, 4.0440925E-001, 1.0000000E+000
 2.0003062E+001, 4.4383309E-001, 4.4383309E-001, 1.0000000E+000
 2.1002111E+001, 4.7773877E-001, 4.7773877E-001, 1.0000000E+000
 2.2002555E+001, 5.0766185E-001, 5.0766185E-001, 1.0000000E+000
 2.3002190E+001, 5.4797601E-001, 5.4797601E-001, 1.0000000E+000
 2.4002376E+001, 5.8427590E-001, 5.8427590E-001, 1.0000000E+000
 2.5003460E+001, 6.1362651E-001, 6.1362651E-001, 1.0000000E+000
 2.6002176E+001, 6.5762858E-001, 6.5762858E-001, 1.0000000E+000
 2.7003112E+001, 6.9522094E-001, 6.9522094E-001, 1.0000000E+000
 2.8004184E+001, 7.6244318E-001, 7.6244318E-001, 1.0000000E+000
 2.9000159E+001, 7.9390364E-001, 7.9390364E-001, 1.0000000E+000
 3.0000715E+001, 8.6529376E-001, 8.6529376E-001, 1.0000000E+000
 3.1003845E+001, 9.7345846E-001, 9.7345846E-001, 1.0000000E+000
