s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0168814E+000, 7.7819226E-002, 7.7819226E-002, 1.0000000E+000
 2.0138605E+000, 4.5767604E-002, 4.5767604E-002, 1.0000000E+000
 3.0108397E+000, 3.2602235E-002, 3.2602235E-002, 1.0000000E+000
 4.0078189E+000, 2.7782891E-002, 2.7782891E-002, 1.0000000E+000
 5.0047980E+000, 2.6018711E-002, 2.6018711E-002, 1.0000000E+000
 6.0046229E+000, 2.6384128E-002, 2.6384128E-002, 1.0000000E+000
 7.0105239E+000, 2.6790139E-002, 2.6790139E-002, 1.0000000E+000
 8.0119792E+000, 3.2928203E-002, 3.2928203E-002, 1.0000000E+000
 9.0062432E+000, 4.5933338E-002, 4.5933338E-002, 1.0000000E+000
 1.0000328E+001, 5.1585576E-002, 5.1585576E-002, 1.0000000E+000
 1.1000860E+001, 3.8234795E-002, 3.8234795E-002, 1.0000000E+000
 1.2002372E+001, 3.9540664E-002, 3.9540664E-002, 1.0000000E+000
 1.3001985E+001, 3.5880478E-002, 3.5880478E-002, 1.0000000E+000
 1.4000613E+001, 5.6685835E-002, 5.6685835E-002, 1.0000000E+000
 1.5001943E+001, 6.8294634E-002, 6.8294634E-002, 1.0000000E+000
 1.6001005E+001, 8.6873300E-002, 8.6873300E-002, 1.0000000E+000
 1.7002861E+001, 1.0812357E-001, 1.0812357E-001, 1.0000000E+000
 1.8002762E+001, 1.2304405E-001, 1.2304405E-001, 1.0000000E+000
 1.9003100E+001, 1.5267381E-001, 1.5267381E-001, 1.0000000E+000
 2.0001472E+001, 1.8450236E-001, 1.8450236E-001, 1.0000000E+000
 2.1000524E+001, 2.1011718E-001, 2.1011718E-001, 1.0000000E+000
 2.2002199E+001, 2.4740172E-001, 2.4740172E-001, 1.0000000E+000
 2.3004541E+001, 2.2514950E-001, 2.2514950E-001, 1.0000000E+000
 2.4002131E+001, 2.8826579E-001, 2.8826579E-001, 1.0000000E+000
 2.5003593E+001, 3.1153657E-001, 3.1153657E-001, 1.0000000E+000
 2.6004219E+001, 3.4597455E-001, 3.4597455E-001, 1.0000000E+000
 2.7002001E+001, 3.6899011E-001, 3.6899011E-001, 1.0000000E+000
 2.8001718E+001, 3.9712276E-001, 3.9712276E-001, 1.0000000E+000
 2.9003840E+001, 4.2009969E-001, 4.2009969E-001, 1.0000000E+000
 3.0002472E+001, 4.5187353E-001, 4.5187353E-001, 1.0000000E+000
 3.1002007E+001, 4.7167016E-001, 4.7167016E-001, 1.0000000E+000
