s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 1.1400007E+003, 7.4794070E+002, 0.0000000E+000,-2.8859090E+002,-4.7464585E+002, 4.8517038E+001, 8.9132035E+000, 0.0000000E+000, 0.0000000E+000, 2.9088051E+001, 4.2134199E+001, 0.0000000E+000, 1.6783246E-002, 0.0000000E+000, 0.0000000E+000
 1.1700071E+003, 7.8534901E+002, 0.0000000E+000,-3.0258274E+002,-5.3114514E+002, 4.9166690E+001, 9.2116050E+000, 0.0000000E+000, 0.0000000E+000,-1.3021405E+000, 9.9994216E+000, 0.0000000E+000, 1.6783246E-002, 0.0000000E+000, 0.0000000E+000
 1.2000121E+003, 7.5958126E+002, 0.0000000E+000,-3.0777606E+002,-5.2025303E+002, 4.8672450E+001, 8.6323256E+000, 0.0000000E+000, 0.0000000E+000,-2.1669759E+001,-1.1143051E+001, 0.0000000E+000, 1.6783246E-002, 0.0000000E+000, 0.0000000E+000
 1.2300145E+003, 7.8241314E+002, 0.0000000E+000,-3.1266924E+002,-4.7542464E+002, 4.8872473E+001, 8.6345091E+000, 0.0000000E+000, 0.0000000E+000, 3.9864393E+001, 5.1826241E+001, 0.0000000E+000, 1.9582616E-002, 0.0000000E+000, 0.0000000E+000
 1.2600033E+003, 8.3168476E+002, 0.0000000E+000,-3.2287333E+002,-5.2355683E+002, 4.9381576E+001, 8.0436739E+000, 0.0000000E+000, 0.0000000E+000, 3.0933984E+001, 4.2679860E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.2900009E+003, 8.9614189E+002, 0.0000000E+000,-3.4306771E+002,-5.7701378E+002, 5.1746257E+001, 8.6554843E+000, 0.0000000E+000, 0.0000000E+000, 2.0731229E+001, 3.6462145E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.3200048E+003, 9.5125141E+002, 0.0000000E+000,-3.6883905E+002,-6.2775725E+002, 5.2483961E+001, 8.5981141E+000, 0.0000000E+000, 0.0000000E+000, 4.0143923E+000, 1.5737189E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.3500134E+003, 8.6668573E+002, 0.0000000E+000,-3.4608818E+002,-5.5169746E+002, 5.2888101E+001, 8.8010462E+000, 0.0000000E+000, 0.0000000E+000, 1.7786040E+001, 3.0589239E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.3800034E+003, 9.6724895E+002, 0.0000000E+000,-3.7147053E+002,-6.1232383E+002, 5.4071850E+001, 9.0678143E+000, 0.0000000E+000, 0.0000000E+000, 3.2807780E+001, 4.6594252E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.4100071E+003, 9.2370650E+002, 0.0000000E+000,-3.6212857E+002,-6.5010931E+002, 5.2126244E+001, 8.8130703E+000, 0.0000000E+000, 0.0000000E+000,-4.1386987E+001,-2.7592072E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.4400034E+003, 9.0561597E+002, 0.0000000E+000,-3.6013722E+002,-6.2582879E+002, 5.3841634E+001, 8.6625392E+000, 0.0000000E+000, 0.0000000E+000,-2.8898825E+001,-1.7845861E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.4700007E+003, 9.6255419E+002, 0.0000000E+000,-3.6723019E+002,-6.0081528E+002, 5.5887092E+001, 8.6408641E+000, 0.0000000E+000, 0.0000000E+000, 4.7862461E+001, 5.9036680E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.5000123E+003, 8.9776624E+002, 0.0000000E+000,-3.5023677E+002,-5.9961890E+002, 5.4053923E+001, 8.5168830E+000, 0.0000000E+000, 0.0000000E+000, 3.2001691E-001, 1.0481374E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.5300061E+003, 8.9007936E+002, 0.0000000E+000,-3.5266712E+002,-6.4644805E+002, 5.2494332E+001, 8.5398780E+000, 0.0000000E+000, 0.0000000E+000,-6.1968055E+001,-4.8001605E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.5600110E+003, 8.8420917E+002, 0.0000000E+000,-3.5570128E+002,-5.6062186E+002, 5.1524841E+001, 8.6284367E+000, 0.0000000E+000, 0.0000000E+000, 1.6904573E+001, 2.8039307E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.5900050E+003, 9.3620506E+002, 0.0000000E+000,-3.6326222E+002,-6.3495886E+002, 5.5788639E+001, 8.9935728E+000, 0.0000000E+000, 0.0000000E+000,-8.9467397E+000, 2.7661932E+000, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.6200074E+003, 9.4532648E+002, 0.0000000E+000,-3.7409333E+002,-5.9773411E+002, 5.3622858E+001, 9.1224646E+000, 0.0000000E+000, 0.0000000E+000, 2.6114038E+001, 3.6244373E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.6500098E+003, 9.0646006E+002, 0.0000000E+000,-3.6057197E+002,-5.8952368E+002, 5.3005325E+001, 8.9254440E+000, 0.0000000E+000, 0.0000000E+000, 6.8132843E+000, 1.8295179E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.6800100E+003, 9.3856294E+002, 0.0000000E+000,-3.6236005E+002,-6.4788291E+002, 5.2201209E+001, 8.8766621E+000, 0.0000000E+000, 0.0000000E+000,-2.1377942E+001,-1.0602147E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.7100109E+003, 9.2548648E+002, 0.0000000E+000,-3.4805775E+002,-5.7266854E+002, 5.5439547E+001, 8.8452953E+000, 0.0000000E+000, 0.0000000E+000, 5.7040982E+001, 6.9045021E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.7400029E+003, 8.8916643E+002, 0.0000000E+000,-3.5049950E+002,-6.4351146E+002, 5.4779539E+001, 8.6452456E+000, 0.0000000E+000, 0.0000000E+000,-5.2003491E+001,-4.1419757E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.7700090E+003, 9.1648711E+002, 0.0000000E+000,-3.5675866E+002,-5.8762102E+002, 5.4714824E+001, 8.8975425E+000, 0.0000000E+000, 0.0000000E+000, 2.1782009E+001, 3.5719801E+001, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
 1.8000000E+003, 9.4729366E+002, 0.0000000E+000,-3.7491411E+002,-6.3491868E+002, 5.4755821E+001, 8.9874643E+000, 0.0000000E+000, 0.0000000E+000,-9.2467796E+000, 1.2041532E+000, 0.0000000E+000, 2.0139895E-002, 0.0000000E+000, 0.0000000E+000
