s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR
 3.3600000E+003, 0.0000000E+000, 0.0000000E+000, 3.9596686E-001,-3.5484073E+000, 3.0921703E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1518062E-002,-6.0270138E-002,-3.0042871E-006
 3.3900032E+003, 0.0000000E+000, 0.0000000E+000, 3.9540448E-001,-3.5426501E+000, 3.0880484E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5892424E-004,-5.9197295E-002, 2.8819156E-006
 3.4200007E+003, 0.0000000E+000, 0.0000000E+000, 3.9472653E-001,-3.5863380E+000, 3.0703943E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7986090E-002,-1.2121717E-001,-6.9668625E-007
 3.4500039E+003, 0.0000000E+000, 0.0000000E+000, 3.9325099E-001,-3.5367615E+000, 3.0904392E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1625282E-003,-5.3071363E-002, 6.0100171E-007
 3.4800015E+003, 0.0000000E+000, 0.0000000E+000, 3.9180354E-001,-3.5433209E+000, 3.1134138E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7507297E-002,-3.8103618E-002, 3.6371606E-008
 3.5100046E+003, 0.0000000E+000, 0.0000000E+000, 3.8921389E-001,-3.5217388E+000, 3.0698816E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5931607E-002,-6.2643362E-002,-1.6690305E-006
 3.5400022E+003, 0.0000000E+000, 0.0000000E+000, 3.9092476E-001,-3.5377544E+000, 3.0715286E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0675089E-002,-7.5301106E-002,-1.2407823E-006
 3.5700054E+003, 0.0000000E+000, 0.0000000E+000, 3.9064497E-001,-3.5323159E+000, 3.0539994E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4305333E-002,-8.7671513E-002, 3.2471061E-006
 3.6000029E+003, 0.0000000E+000, 0.0000000E+000, 3.8929429E-001,-3.5094445E+000, 3.0774221E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0728083E-002,-4.2728085E-002,-1.0085661E-006
 3.6300005E+003, 0.0000000E+000, 0.0000000E+000, 3.8918379E-001,-3.5854244E+000, 3.1561046E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5382463E-003,-4.0136016E-002, 9.4374017E-003
