s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR
 7.8000110E+002, 0.0000000E+000, 0.0000000E+000, 4.6667736E-001,-2.2978277E+000, 1.7552700E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9388165E-002,-7.5880339E-002, 2.1127325E-006
 8.1000018E+002, 0.0000000E+000, 0.0000000E+000, 4.6550242E-001,-2.3188029E+000, 1.7420457E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5770452E-002,-1.1125478E-001, 2.5306253E-006
 8.4000049E+002, 0.0000000E+000, 0.0000000E+000, 4.6604905E-001,-2.3389090E+000, 1.7323842E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0267675E-001,-1.4047580E-001,-1.2436894E-006
 8.7000507E+002, 0.0000000E+000, 0.0000000E+000, 4.6712810E-001,-2.3557159E+000, 1.7239142E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0435856E-001,-1.6467365E-001, 1.3372319E-007
 9.0000018E+002, 0.0000000E+000, 0.0000000E+000, 4.6762132E-001,-2.2887026E+000, 1.7163680E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5525468E-002,-1.0471326E-001,-6.4612046E-007
 9.3000366E+002, 0.0000000E+000, 0.0000000E+000, 4.6833211E-001,-2.4058563E+000, 1.8615892E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6389678E-002,-7.5935018E-002, 8.8964893E-003
 9.6000372E+002, 0.0000000E+000, 0.0000000E+000, 4.6531476E-001,-2.5304591E+000, 2.0631883E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9774133E-003,-1.9559961E-003,-1.0281545E-006
 9.9000348E+002, 0.0000000E+000, 0.0000000E+000, 4.6233931E-001,-2.5893134E+000, 2.0667191E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7140839E-002,-6.0254999E-002,-1.6043898E-006
 1.0200038E+003, 0.0000000E+000, 0.0000000E+000, 4.6153423E-001,-2.5851645E+000, 2.0315543E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0774241E-002,-9.2076043E-002, 2.0565792E-007
 1.0500029E+003, 0.0000000E+000, 0.0000000E+000, 4.6141355E-001,-2.5412914E+000, 2.0102615E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4114029E-002,-6.9616342E-002,-2.3887140E-006
 1.0800044E+003, 0.0000000E+000, 0.0000000E+000, 4.5936830E-001,-2.5327523E+000, 2.0479637E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7898039E-002,-2.5420295E-002,-1.1745264E-006
 1.1100042E+003, 0.0000000E+000, 0.0000000E+000, 4.5849358E-001,-2.5830822E+000, 2.0482117E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1087303E-002,-7.6376905E-002,-1.7084754E-006
