s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4261011E-002,-3.7866717E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4261049E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0007238E+001, 3.2206574E+002, 0.0000000E+000,-7.3516472E+001, 8.9736473E+000, 2.1326856E+000, 1.9486137E+000, 0.0000000E+000, 0.0000000E+000, 2.5637362E+002, 2.6160422E+002, 0.0000000E+000, 1.1072222E-002, 0.0000000E+000, 0.0000000E+000
 6.0082184E+001, 6.0527671E+002, 0.0000000E+000,-2.1874252E+002, 1.8772759E+001, 5.4657156E+000, 7.0069681E+000, 0.0000000E+000, 0.0000000E+000, 4.1725428E+002, 4.1777964E+002, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 9.0072968E+001, 4.3450558E+002, 0.0000000E+000,-2.1103975E+002,-1.4737633E+002, 9.6900411E+000, 7.0682019E+000, 0.0000000E+000, 0.0000000E+000, 9.1588191E+001, 9.2847737E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 1.2000044E+002, 5.8053777E+002, 0.0000000E+000,-2.7554599E+002,-3.0215477E+002, 2.2135925E+001, 6.2949463E+000, 0.0000000E+000, 0.0000000E+000, 3.1509367E+001, 3.1267876E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 1.5001010E+002, 6.2560328E+002, 0.0000000E+000,-2.5561429E+002,-3.2985450E+002, 2.8954221E+001, 7.1313505E+000, 0.0000000E+000, 0.0000000E+000, 7.4338900E+001, 7.6220059E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 1.8006178E+002, 5.3677649E+002, 0.0000000E+000,-2.2944641E+002,-3.6714770E+002, 3.1570046E+001, 7.5072720E+000, 0.0000000E+000, 0.0000000E+000,-2.0549227E+001,-2.0740306E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 2.1000052E+002, 6.3984157E+002, 0.0000000E+000,-2.7849865E+002,-3.8597185E+002, 3.5428920E+001, 8.2225634E+000, 0.0000000E+000, 0.0000000E+000, 1.7036444E+001, 1.9022552E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 2.4000635E+002, 5.4962025E+002, 0.0000000E+000,-2.3541017E+002,-3.6944107E+002, 3.6716836E+001, 7.9022729E+000, 0.0000000E+000, 0.0000000E+000,-1.2034291E+001,-1.0611877E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 2.7003802E+002, 6.2708625E+002, 0.0000000E+000,-2.6472952E+002,-3.8502233E+002, 3.7404023E+001, 8.8843096E+000, 0.0000000E+000, 0.0000000E+000, 2.3216610E+001, 2.3622743E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
 3.0001404E+002, 6.0083953E+002, 0.0000000E+000,-2.4982560E+002,-3.7375426E+002, 3.8618239E+001, 8.5035597E+000, 0.0000000E+000, 0.0000000E+000, 2.3641582E+001, 2.4381465E+001, 0.0000000E+000, 1.3140404E-002, 0.0000000E+000, 0.0000000E+000
